id,name,default_code,qty_available,list_price,categ_id,uom_id
42208,Destornillador Mango Goma Pl (-) 6.0 (Ø6-38mm),59571,0,5163.11,All,Units
108065,Destornillador Manual Set X 10 Puntas PH PZ SL T HEX,65370,-1.0,27113.08,All,Units
117985,Destornillador Metz Phillips 3110 5x75,40523,0,6229.21,All / Ferretería,Units
118130,Destornillador Metz Phillips 3111 5x100,40524,0,6927.43,All / Ferretería,Units
73895,Destornillador Mota 3 Phillips - 3 Planos Dj6 Jgo,1438,0,26431.45,All,Units
73907,Destornillador Mota 6 Torx Dj6T Jgo,1439,1.0,31830.22,All,Units
74472,Destornillador Mota Phillips Carrocero Dh1025,1440,0,3755.94,All,Units
74473,Destornillador Mota Phillips Carrocero Dh2025,1441,0,3868.94,All,Units
73775,Destornillador Mota Phillips Ph0X75Mm Dh0075,1442,0,3388.64,All,Units
73789,Destornillador Mota Phillips Ph1X100Mm Dh1100,1443,0,4468.3,All,Units
73800,Destornillador Mota Phillips Ph1X150Mm Dh1150,1444,0,4884.02,All,Units
73826,Destornillador Mota Phillips Ph1X300Mm Dh1300,1445,0,7252.98,All,Units
73802,Destornillador Mota Phillips Ph2X100Mm Dh2100,1446,0,5592.16,All,Units
73810,Destornillador Mota Phillips Ph2X150Mm Dh2150,1447,0,5991.77,All,Units
73829,Destornillador Mota Phillips Ph2X300Mm Dh2300,1448,0,8454.37,All,Units
73830,Destornillador Mota Phillips Ph3X150Mm Dh3150,1449,0,8009.4,All,Units
73845,"Destornillador Mota Plano 10,0X200Mm Dp0200",1457,0,10662.58,All,Units
73772,"Destornillador Mota Plano 4,0X100Mm Dp4100",1453,0,3930.85,All,Units
73811,Destornillador Mota Plano 5.5X125Mm Dp5125,1454,0,5045.7,All,Units
73820,"Destornillador Mota Plano 6,5X150Mm Dp6150",1455,0,6118.04,All,Units
73831,"Destornillador Mota Plano 8,0X175Mm Dp8175",1456,0,8454.37,All,Units
74471,Destornillador Mota Plano Carrocero Dp6025,1451,0,4905.52,All,Units
73790,Destornillador Mota Pozidriv Pz1X150Mm Dz1150,1460,0,4731.14,All,Units
73812,Destornillador Mota Pozidriv Pz2X150Mm Dz2150,1461,0,5676.39,All,Units
73770,"Destornillador Mota Recto  3,0X100Mm Dr3100",1452,0,3434.38,All,Units
73776,"Destornillador Mota Recto  4,0X300Mm Dr4300",1458,0,5044.28,All,Units
73813,"Destornillador Mota Recto  5,5X300Mm Dr5300",1459,0,6621.88,All,Units
73803,Destornillador Mota Torx  6X60Mm Dt06,1462,0,4706.46,All,Units
73804,Destornillador Mota Torx  7X60Mm Dt07,1463,0,4706.46,All,Units
73778,Destornillador Mota Torx  8X60Mm Dt08,1464,0,4706.46,All,Units
73779,Destornillador Mota Torx  9X60Mm Dt09,1465,0,4706.46,All,Units
73791,Destornillador Mota Torx 10X80Mm Dt10,1466,0,4205.49,All,Units
73792,Destornillador Mota Torx 15X80Mm Dt15,1467,0,4731.14,All,Units
73825,Destornillador Mota Torx 20X100Mm Dt20,1468,0,6278.7,All,Units
73827,Destornillador Mota Torx 25X100Mm Dt25,1469,0,7505.68,All,Units
73832,Destornillador Mota Torx 27X115Mm Dt27,1470,0,8009.4,All,Units
73833,Destornillador Mota Torx 30X115Mm Dt30,1471,0,8451.85,All,Units
73838,Destornillador Mota Torx 40X130Mm Dt40,1472,0,9397.09,All,Units
73777,Destornillador Mota plano Carrocero DP5025,1450,0,3699.99,All,Units
138656,Destornillador Nicholson Aislado  1/4 X 6  227104N,13471,0,19123.55,All,Units
138657,Destornillador Nicholson Aislado 1/8  X 4  227102N,13469,0,19123.55,All,Units
138658,Destornillador Nicholson Aislado 3/16 X 4  227103N,13470,0,17426.44,All,Units
138659,Destornillador Nicholson De Fuerza 1/4 X5  229101N,13472,0,35432.39,All,Units
138660,Destornillador Nicholson De Fuerza 3/8 X 7 229103N,13474,0,49671.58,All,Units
138661,Destornillador Nicholson De Fuerza 5/16X6  229102N,13473,0,45325.32,All,Units
138662,Destornillador Nicholson P/Tuerca  4X245Mm 252102N,13505,0,20282.56,All,Units
138663,Destornillador Nicholson P/Tuerca  5X245Mm 252103N,13506,0,20572.31,All,Units
138664,Destornillador Nicholson P/Tuerca  6X245Mm 252104N,13507,0,21565.75,All,Units
138665,Destornillador Nicholson P/Tuerca  7X245Mm 252105N,13508,0,21565.75,All,Units
138666,Destornillador Nicholson P/Tuerca  8X245Mm 252106N,13509,0,22062.46,All,Units
138667,Destornillador Nicholson P/Tuerca  9X245Mm 252107N,13510,0,21689.93,All,Units
138668,Destornillador Nicholson P/Tuerca 10X245Mm 252108N,13511,0,23511.22,All,Units
138669,Destornillador Nicholson P/Tuerca 11X245Mm 252109N,13512,0,24587.43,All,Units
138670,Destornillador Nicholson P/Tuerca 12X245Mm 252110N,13513,0,25456.68,All,Units
138671,Destornillador Nicholson P/Tuerca 13X245Mm 252112N,13514,0,25332.51,All,Units
138672,Destornillador Nicholson Ph 0 217101-3N 1/8X3 1/8,13476,0,13908.04,All,Units
138673,Destornillador Nicholson Ph 0 217101-4N 1/8X 4,13477,0,14653.11,All,Units
138674,Destornillador Nicholson Ph 0 217101-5N 1/8 X 5,13478,0,15398.19,All,Units
138675,Destornillador Nicholson Ph 0 217101N 1/8 X 2 3/8,13475,0,13411.33,All,Units
138676,Destornillador Nicholson Ph 1 217102-4N 3/16 X 4,13480,0,15274.01,All,Units
138677,Destornillador Nicholson Ph 1 217102-5N 3/16 X 5,13481,0,16391.63,All,Units
138678,Destornillador Nicholson Ph 1 217102-6N 3/16 X 6,13482,0,17053.91,All,Units
138679,Destornillador Nicholson Ph 1 217102N 3/16 X 3,13479,0,14901.48,All,Units
138680,Destornillador Nicholson Ph 2 217103-6N 1/4 X 6,13483,0,20034.2,All,Units
138681,Destornillador Nicholson Ph 2 217103-8N 1/4 X 8,13485,0,30952.84,All,Units
138682,Destornillador Nicholson Ph 2 217103N 1/4 X 5,13484,0,19330.52,All,Units
138683,Destornillador Nicholson Ph 3 217104N 5/16 X 6,13486,0,27609.13,All,Units
138684,Destornillador Nicholson Stand. 3/16X3 1/8 214104N,13446,0,17260.88,All,Units
138685,Destornillador Nicholson Standar  1/4 X 10 214124N,13454,0,22435.0,All,Units
138686,Destornillador Nicholson Standar  1/4 X 4  214109N,13450,0,18130.13,All,Units
138687,Destornillador Nicholson Standar  1/4 X 5  214123N,13451,0,18130.13,All,Units
138688,Destornillador Nicholson Standar  1/4 X 6  214110N,13452,0,20379.43,All,Units
138689,Destornillador Nicholson Standar  1/4 X 8  214111N,13453,0,19661.67,All,Units
138690,Destornillador Nicholson Standar  1/8X 5   214122N,13444,0,18047.34,All,Units
138691,Destornillador Nicholson Standar  1/8X 6   214103N,13445,0,19953.07,All,Units
138692,Destornillador Nicholson Standar  1/8X4    214102N,13443,0,18047.34,All,Units
138693,Destornillador Nicholson Standar  3/8 X 10 214119N,13462,0,36798.36,All,Units
